input_product_code,input_type,input_product_sys_id,dipakai_oleh_n_parent,perilaku,cost_hulu_tersedia,status_cost_hulu
CSTPOY2606001471,POY,1558,89,GAGAL - selalu unit_cost=1,1.408893,CALCULATED
CSTPOY2606000375,POY,462,73,GAGAL - selalu unit_cost=1,1.362270,CALCULATED
CSTTCY2606000135,TCY,34888,61,GAGAL - selalu unit_cost=1,1.188505,CALCULATED
CSTPOY2606001819,POY,1906,60,GAGAL - selalu unit_cost=1,1.273699,CALCULATED
CSTTTY2606000053,TTY,35620,46,GAGAL - selalu unit_cost=1,1.083948,CALCULATED
CSTPOY2606001829,POY,1916,44,GAGAL - selalu unit_cost=1,1.245417,CALCULATED
CSTPOY2606001594,POY,1681,42,GAGAL - selalu unit_cost=1,1.276950,CALCULATED
CSTPOY2606000088,POY,175,35,GAGAL - selalu unit_cost=1,1.410106,CALCULATED
CSTTCY2606000047,TCY,34800,34,GAGAL - selalu unit_cost=1,1.145170,CALCULATED
CSTPOY2606002076,POY,2163,29,GAGAL - selalu unit_cost=1,1.322301,CALCULATED
CSTTCY2606000070,TCY,34823,28,GAGAL - selalu unit_cost=1,1.135540,CALCULATED
CSTPOY2606001881,POY,1968,28,GAGAL - selalu unit_cost=1,1.321610,CALCULATED
CSTTTY2606000456,TTY,36023,25,GAGAL - selalu unit_cost=1,1.081688,CALCULATED
CSTTTY2606000460,TTY,36027,23,GAGAL - selalu unit_cost=1,1.070648,CALCULATED
CSTTTY2606000450,TTY,36017,23,GAGAL - selalu unit_cost=1,1.173961,CALCULATED
CSTPOY2606000086,POY,173,23,GAGAL - selalu unit_cost=1,1.400972,CALCULATED
CSTPOY2606000373,POY,460,20,GAGAL - selalu unit_cost=1,1.403185,CALCULATED
CSTPOY2606000589,POY,676,20,GAGAL - selalu unit_cost=1,3.024668,CALCULATED
CSTPOY2606001520,POY,1607,19,GAGAL - selalu unit_cost=1,1.383229,CALCULATED
CSTPTY2606005146,PTY,34572,19,GAGAL - selalu unit_cost=1,1.250414,CALCULATED
CSTTTY2606000514,TTY,27847,19,GAGAL - selalu unit_cost=1,1.059942,CALCULATED
CSTPOY2606001516,POY,1603,18,GAGAL - selalu unit_cost=1,1.400180,CALCULATED
CSTPOY2606001580,POY,1667,16,GAGAL - selalu unit_cost=1,1.354959,CALCULATED
CSTPOY2606001609,POY,1696,16,GAGAL - selalu unit_cost=1,2.914515,CALCULATED
CSTPOY2606000073,POY,160,16,GAGAL - selalu unit_cost=1,1.518694,CALCULATED
CSTPOY2606001458,POY,1545,16,GAGAL - selalu unit_cost=1,3.033312,CALCULATED
CSTPTY2606002300,PTY,10187,16,GAGAL - selalu unit_cost=1,1.558788,CALCULATED
CSTPOY2606000089,POY,176,15,GAGAL - selalu unit_cost=1,1.366767,CALCULATED
CSTPOY2606003229,POY,3316,14,GAGAL - selalu unit_cost=1,1.425035,CALCULATED
CSTPOY2606002039,POY,2126,14,GAGAL - selalu unit_cost=1,1.465968,CALCULATED
CSTPOY2606000020,POY,107,14,GAGAL - selalu unit_cost=1,1.598244,CALCULATED
CSTPOY2606002092,POY,2179,14,GAGAL - selalu unit_cost=1,1.274951,CALCULATED
CSTTTY2606000410,TTY,35977,13,GAGAL - selalu unit_cost=1,1.196713,CALCULATED
CSTPOY2606001875,POY,1962,13,GAGAL - selalu unit_cost=1,1.434367,CALCULATED
CSTPOY2606000027,POY,114,13,GAGAL - selalu unit_cost=1,1.627878,CALCULATED
CSTPOY2606003218,POY,3305,13,GAGAL - selalu unit_cost=1,1.294743,CALCULATED
CSTPTY2606001146,PTY,9033,13,GAGAL - selalu unit_cost=1,1.283631,CALCULATED
CSTTTY2606000054,TTY,35621,13,GAGAL - selalu unit_cost=1,1.083948,CALCULATED
CSTPOY2606000500,POY,587,13,GAGAL - selalu unit_cost=1,3.020481,CALCULATED
CSTPOY2606001938,POY,2025,12,GAGAL - selalu unit_cost=1,2.989318,CALCULATED
CSTPOY2606003378,POY,3465,11,GAGAL - selalu unit_cost=1,1.394809,CALCULATED
CSTPOY2606001566,POY,1653,11,GAGAL - selalu unit_cost=1,1.381485,CALCULATED
CSTTTY2606000379,TTY,35946,11,GAGAL - selalu unit_cost=1,1.124261,CALCULATED
CSTPOY2606001457,POY,1544,11,GAGAL - selalu unit_cost=1,3.012701,CALCULATED
CSTPOY2606003276,POY,3363,10,GAGAL - selalu unit_cost=1,1.292083,CALCULATED
CSTPOY2606001527,POY,1614,10,GAGAL - selalu unit_cost=1,2.996821,CALCULATED
CSTPTY2606004509,PTY,32853,10,GAGAL - selalu unit_cost=1,1.424911,CALCULATED
CSTTCY2606000088,TCY,34841,10,GAGAL - selalu unit_cost=1,1.111005,CALCULATED
CSTPOY2606000475,POY,562,10,GAGAL - selalu unit_cost=1,3.033647,CALCULATED
CSTPTY2606002297,PTY,10184,9,GAGAL - selalu unit_cost=1,1.283631,CALCULATED
CSTPOY2606000109,POY,196,9,GAGAL - selalu unit_cost=1,3.027660,CALCULATED
CSTPOY2606001941,POY,2028,9,GAGAL - selalu unit_cost=1,2.983668,CALCULATED
CSTTTY2606000308,TTY,35875,9,GAGAL - selalu unit_cost=1,1.110308,CALCULATED
CSTPTY2606000919,PTY,8806,9,GAGAL - selalu unit_cost=1,1.329978,CALCULATED
CSTPOY2606000522,POY,609,9,GAGAL - selalu unit_cost=1,3.013708,CALCULATED
CSTTTY2606000455,TTY,36022,9,GAGAL - selalu unit_cost=1,1.196713,CALCULATED
CSTPOY2606001620,POY,1707,9,GAGAL - selalu unit_cost=1,2.919612,CALCULATED
CSTPOY2606000406,POY,493,9,GAGAL - selalu unit_cost=1,3.024967,CALCULATED
CSTTCY2606000273,TCY,34890,9,GAGAL - selalu unit_cost=1,1.127836,CALCULATED
CSTPTY2606000921,PTY,8808,8,GAGAL - selalu unit_cost=1,1.378607,CALCULATED
CSTPOY2606001602,POY,1689,8,GAGAL - selalu unit_cost=1,2.912817,CALCULATED
CSTPOY2606002955,POY,3042,8,GAGAL - selalu unit_cost=1,3.013810,CALCULATED
CSTPTY2606002079,PTY,9966,8,GAGAL - selalu unit_cost=1,1.290598,CALCULATED
CSTPOY2606001528,POY,1615,8,GAGAL - selalu unit_cost=1,3.004386,CALCULATED
CSTPOY2606000485,POY,572,8,GAGAL - selalu unit_cost=1,3.004952,CALCULATED
CSTPOY2606000544,POY,631,8,GAGAL - selalu unit_cost=1,3.003063,CALCULATED
CSTPOY2606001588,POY,1675,8,GAGAL - selalu unit_cost=1,1.292229,CALCULATED
CSTPOY2606002259,POY,2346,8,GAGAL - selalu unit_cost=1,3.226974,CALCULATED
CSTPOY2606001480,POY,1567,8,GAGAL - selalu unit_cost=1,1.399180,CALCULATED
CSTPOY2606001460,POY,1547,8,GAGAL - selalu unit_cost=1,3.033312,CALCULATED
CSTPOY2606000414,POY,501,8,GAGAL - selalu unit_cost=1,3.026064,CALCULATED
CSTPOY2606002876,POY,2963,8,GAGAL - selalu unit_cost=1,1.434367,CALCULATED
CSTPOY2606000407,POY,494,8,GAGAL - selalu unit_cost=1,3.006046,CALCULATED
CSTPOY2606003232,POY,3319,8,GAGAL - selalu unit_cost=1,1.425035,CALCULATED
CSTPOY2606001585,POY,1672,8,GAGAL - selalu unit_cost=1,1.313513,CALCULATED
CSTPOY2606000537,POY,624,8,GAGAL - selalu unit_cost=1,3.017393,CALCULATED
CSTPOY2606003113,POY,3200,8,GAGAL - selalu unit_cost=1,1.420415,CALCULATED
CSTPOY2606001531,POY,1618,8,GAGAL - selalu unit_cost=1,3.013155,CALCULATED
CSTTTY2606000370,TTY,35937,8,GAGAL - selalu unit_cost=1,1.122994,CALCULATED
CSTPOY2606001038,POY,1125,7,GAGAL - selalu unit_cost=1,3.026263,CALCULATED
CSTTTY2606000057,TTY,35624,7,GAGAL - selalu unit_cost=1,1.083948,CALCULATED
CSTPOY2606001621,POY,1708,7,GAGAL - selalu unit_cost=1,2.916614,CALCULATED
CSTPOY2606000586,POY,673,7,GAGAL - selalu unit_cost=1,3.033747,CALCULATED
CSTPOY2606000311,POY,398,7,GAGAL - selalu unit_cost=1,3.031152,CALCULATED
CSTPTY2606002861,PTY,28781,7,GAGAL - selalu unit_cost=1,1.437374,CALCULATED
CSTPOY2606000562,POY,649,7,GAGAL - selalu unit_cost=1,3.027560,CALCULATED
CSTPOY2606000469,POY,556,7,GAGAL - selalu unit_cost=1,3.032150,CALCULATED
CSTPOY2606002405,POY,2492,7,GAGAL - selalu unit_cost=1,3.008537,CALCULATED
CSTPOY2606002548,POY,2635,7,GAGAL - selalu unit_cost=1,3.046877,CALCULATED
CSTPOY2606000076,POY,163,7,GAGAL - selalu unit_cost=1,1.520193,CALCULATED
CSTPOY2606002557,POY,2644,7,GAGAL - selalu unit_cost=1,3.049379,CALCULATED
CSTPOY2606002698,POY,2785,7,GAGAL - selalu unit_cost=1,3.032957,CALCULATED
CSTPOY2606000563,POY,650,7,GAGAL - selalu unit_cost=1,3.008831,CALCULATED
CSTPOY2606000530,POY,617,7,GAGAL - selalu unit_cost=1,3.035244,CALCULATED
CSTTTY2606000857,TTY,35445,7,GAGAL - selalu unit_cost=1,1.165511,CALCULATED
CSTPOY2606001568,POY,1655,7,GAGAL - selalu unit_cost=1,1.356742,CALCULATED
CSTPOY2606000578,POY,665,7,GAGAL - selalu unit_cost=1,3.021278,CALCULATED
CSTPTY2606003259,PTY,31543,7,GAGAL - selalu unit_cost=1,1.301411,CALCULATED
CSTPOY2606001607,POY,1694,7,GAGAL - selalu unit_cost=1,2.917413,CALCULATED
CSTPOY2606003567,POY,3654,7,GAGAL - selalu unit_cost=1,1.383847,CALCULATED
CSTPOY2606003220,POY,3307,7,GAGAL - selalu unit_cost=1,1.425030,CALCULATED
CSTPTY2606004742,PTY,33086,6,GAGAL - selalu unit_cost=1,3.067757,CALCULATED
CSTPTY2606001200,PTY,9087,6,GAGAL - selalu unit_cost=1,1.555392,CALCULATED
CSTPOY2606000098,POY,185,6,GAGAL - selalu unit_cost=1,3.032649,CALCULATED
CSTPOY2606000507,POY,594,6,GAGAL - selalu unit_cost=1,3.008234,CALCULATED
CSTPOY2606001943,POY,2030,6,GAGAL - selalu unit_cost=1,2.998368,CALCULATED
CSTPOY2606003243,POY,3330,6,GAGAL - selalu unit_cost=1,1.392379,CALCULATED
CSTPOY2606000637,POY,724,6,GAGAL - selalu unit_cost=1,3.014903,CALCULATED
CSTPOY2606000481,POY,568,6,GAGAL - selalu unit_cost=1,3.026263,CALCULATED
CSTPOY2606002359,POY,2446,6,GAGAL - selalu unit_cost=1,1.297228,CALCULATED
CSTPOY2606002411,POY,2498,6,GAGAL - selalu unit_cost=1,2.996381,CALCULATED
CSTPOY2606001955,POY,2042,6,GAGAL - selalu unit_cost=1,2.986544,CALCULATED
CSTPOY2606001591,POY,1678,6,GAGAL - selalu unit_cost=1,1.234486,CALCULATED
CSTPOY2606001642,POY,1729,6,GAGAL - selalu unit_cost=1,2.898646,CALCULATED
CSTPOY2606000470,POY,557,6,GAGAL - selalu unit_cost=1,3.025366,CALCULATED
CSTPTY2606001196,PTY,9083,6,GAGAL - selalu unit_cost=1,1.616238,CALCULATED
CSTPOY2606001836,POY,1923,6,GAGAL - selalu unit_cost=1,1.280327,CALCULATED
CSTPTY2606003105,PTY,30851,6,GAGAL - selalu unit_cost=1,1.383998,CALCULATED
CSTPOY2606000084,POY,171,6,GAGAL - selalu unit_cost=1,1.353346,CALCULATED
CSTPOY2606000108,POY,195,6,GAGAL - selalu unit_cost=1,3.016695,CALCULATED
CSTPTY2606001486,PTY,9373,6,GAGAL - selalu unit_cost=1,1.442255,CALCULATED
CSTPOY2606000906,POY,993,6,GAGAL - selalu unit_cost=1,3.028956,CALCULATED
CSTPOY2606000577,POY,664,6,GAGAL - selalu unit_cost=1,3.015699,CALCULATED
CSTPOY2606000587,POY,674,6,GAGAL - selalu unit_cost=1,3.007737,CALCULATED
CSTTTY2606000356,TTY,35923,6,GAGAL - selalu unit_cost=1,1.146005,CALCULATED
CSTPOY2606001824,POY,1911,6,GAGAL - selalu unit_cost=1,3.004455,CALCULATED
CSTPOY2606000095,POY,182,6,GAGAL - selalu unit_cost=1,3.031551,CALCULATED
CSTPOY2606000403,POY,490,6,GAGAL - selalu unit_cost=1,3.014704,CALCULATED
CSTPTY2606004030,PTY,32374,6,GAGAL - selalu unit_cost=1,1.282672,CALCULATED
CSTPOY2606003095,POY,3182,6,GAGAL - selalu unit_cost=1,3.116840,CALCULATED
CSTPOY2606003488,POY,3575,6,GAGAL - selalu unit_cost=1,1.450032,CALCULATED
CSTPTY2606001988,PTY,9875,6,GAGAL - selalu unit_cost=1,1.436204,CALCULATED
CSTPTY2606003853,PTY,32197,6,GAGAL - selalu unit_cost=1,1.345507,CALCULATED
CSTPOY2606001481,POY,1568,6,GAGAL - selalu unit_cost=1,1.350639,CALCULATED
