fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606006084,PTY,PTY 75/36/RND/RSD-FR/HIM/DH/N/1/Z(IRV),34149,CSTPOY2606003900,POY,27257,1,1,4.202778,CALCULATED,3.202778
CSTATY2606000033,ATY,ATY 360/108/RND/RSD-FR/AC/DP/1/O,23333,CSTPOY2606003501,POY,3588,1,1,4.069117,CALCULATED,3.069117
CSTATY2606000198,ATY,ATY 360/96/RND/DSD-PBT+PET/NIM/ACDH/DP/1/Z,23395,CSTPOY2606003999,POY,27498,1,1,4.047563,CALCULATED,3.047563
CSTATY2606000197,ATY,ATY 360/96/RND/DSD-PBT+PET/NIM/DH/N/1/Z,23394,CSTPOY2606003999,POY,27498,1,1,4.047563,CALCULATED,3.047563
CSTATY2606000237,ATY,ATY 370/108/RND/DSD/NIM/DH/N/1/Z(PET+PBT),23434,CSTPOY2606003763,POY,3850,1,1,3.990383,CALCULATED,2.990383
CSTPTY2606005841,PTY,PTY 166/48/RND/FR-DSD/SIM/DH/N/2/SZ,33906,CSTPOY2606003774,POY,3861,1,1,3.984104,CALCULATED,2.984104
CSTATY2606000155,ATY,ATY 400/96/RND/RSD-FR/NIM/DH/N/1/Z,23299,CSTPOY2606003809,POY,23742,1,1,3.950308,CALCULATED,2.950308
CSTATY2606000246,ATY,ATY 1750/864/RND/RBSD-RSD/NIM/DH/N/1/Z,23443,CSTPOY2606003845,POY,27202,1,1,3.947486,CALCULATED,2.947486
CSTATY2606000188,ATY,ATY 1764/960/RND/RSDFR-DSD/NIM/DH/N/1/Z,23385,CSTPOY2606003984,POY,27483,1,1,3.947486,CALCULATED,2.947486
CSTATY2606000187,ATY,ATY 1764/960/RND/RSDFR-BSD/NIM/DH/N/1/Z,23384,CSTPOY2606003984,POY,27483,1,1,3.947486,CALCULATED,2.947486
CSTATY2606000187,ATY,ATY 1764/960/RND/RSDFR-BSD/NIM/DH/N/1/Z,23384,CSTPOY2606003845,POY,27202,1,1,3.947486,CALCULATED,2.947486
CSTATY2606000188,ATY,ATY 1764/960/RND/RSDFR-DSD/NIM/DH/N/1/Z,23385,CSTPOY2606003845,POY,27202,1,1,3.947486,CALCULATED,2.947486
CSTPTY2606006113,PTY,PTY 150/144/RND/RSD-FR/SIM/DH/N/2/SZ,34178,CSTPOY2606003901,POY,27258,1,1,3.944391,CALCULATED,2.944391
CSTPTY2606006085,PTY,PTY 150/144/RND/RSD-FR/HIM/DH/N/2/SZ,34150,CSTPOY2606003901,POY,27258,1,1,3.944391,CALCULATED,2.944391
CSTPTY2606005594,PTY,PTY 163/36/RND/RSD-FR/LIM/DH/DP/1/Z,28936,CSTPOY2606003499,POY,3586,1,1,3.937776,CALCULATED,2.937776
CSTPTY2606004745,PTY,PTY 163/36/RND/RSD-FR/HIM/DH/DP/1/Z,33089,CSTPOY2606003499,POY,3586,1,1,3.937776,CALCULATED,2.937776
CSTPTY2606004744,PTY,PTY 163/36/RND/RSD-FR/HIM/DH/DP/2/SZ,33088,CSTPOY2606003499,POY,3586,1,1,3.937776,CALCULATED,2.937776
CSTPTY2606005593,PTY,PTY 163/36/RND/RSD-FR/LIM/DH/DP/2/SZ,28935,CSTPOY2606003499,POY,3586,1,1,3.937776,CALCULATED,2.937776
CSTPTY2606004658,PTY,PTY 163/36/RND/RSD-FR/HIM/DH/N/4/2Z2S,33002,CSTPOY2606003499,POY,3586,1,1,3.937776,CALCULATED,2.937776
CSTPTY2606006204,PTY,PTY 165/36/RND/RSD-FR/NIM/DH/N/4/2Z2S,34269,CSTPOY2606003814,POY,27171,1,1,3.933195,CALCULATED,2.933195
CSTATY2606000223,ATY,ATY 567/144/RND/RSD-FR/N/1/O,23420,CSTPOY2606003815,POY,27172,1,1,3.928785,CALCULATED,2.928785
CSTATY2606000191,ATY,ATY 378/96/RND/RSD-FR/N/1/O,23388,CSTPOY2606003815,POY,27172,1,1,3.928785,CALCULATED,2.928785
CSTPTY2606005600,PTY,PTY 165/36/RND/RSD-FR/HIM/DH/DP/1/Z,28942,CSTPOY2606003808,POY,23741,1,1,3.927356,CALCULATED,2.927356
CSTPTY2606005566,PTY,PTY 165/96/RND/RSD-FR/HIM/DH/DP/1/Z,28908,CSTPOY2606000018,POY,105,1,1,3.927356,CALCULATED,2.927356
CSTPTY2606005909,PTY,PTY 165/36/RND/RSD-FR/NIM/DH/N/1/Z,33974,CSTPOY2606003808,POY,23741,1,1,3.927356,CALCULATED,2.927356
CSTPTY2606006404,PTY,PTY 150/48/RND/RDBR/LIM/DH/N/1/Z,34469,CSTPOY2606003992,POY,27491,1,1,3.918707,CALCULATED,2.918707
CSTPTY2606005831,PTY,PTY 165/144/RND/RSD-FR/SIM/DH/N/2/SZ,33896,CSTPOY2606003525,POY,3612,1,1,3.916481,CALCULATED,2.916481
CSTPTY2606004657,PTY,PTY 163/144/RND/RSD-FR/HIM/DH/N/2/SZ,33001,CSTPOY2606003525,POY,3612,1,1,3.916481,CALCULATED,2.916481
CSTPTY2606006405,PTY,PTY 150/48/RND/RDBR/LIM/DH/N/1/Z,34470,CSTPOY2606003993,POY,27492,1,1,3.905303,CALCULATED,2.905303
