cost_type,metric,legacy_top,param_key,n,match,match_rounding,match_both_zero,minor,material,not_comparable,pct_setara_total,n_in_scope_orion,pct_setara_in_scope,n_out_of_scope,pct_setara_out_of_scope
ACTUAL,WASTE_PCT,TOP21,WASTE_PERC,6978,6695,0,20,0,263,0,96.2,1269,93.7,5709,96.8
ACTUAL,OPU,TOP22,OPU,6978,5925,0,1047,0,3,3,99.9,1269,100.0,5709,99.9
ACTUAL,QLOSS_CAPTIVE,TOP103,QLTY_LOSS_CAPTIVE_COST,6978,0,40,0,0,6897,41,0.6,1269,1.7,5709,0.3
ACTUAL,QLOSS_DELIVERY,TOP104,QLTY_LOSS_DELIVERY_COST,6978,0,34,0,0,6903,41,0.5,1269,0.7,5709,0.4
ACTUAL,RM_RATE,TOP55,RM_RATE,6978,12,2,2,12,6907,43,0.4,1269,0.2,5709,0.4
ACTUAL,RM_LANDED_COST,TOP56,RM_LANDED_COST,6978,12,548,0,30,6345,43,8.5,1269,42.5,5709,0.9
ACTUAL,RM_NORM,TOP57,RM_NORMS,6978,5020,1,0,1185,731,41,88.9,1269,86.1,5709,89.6
ACTUAL,POWER_PER_KG,TOP87,POWER_PER_KG,6978,0,1065,0,2,5870,41,15.3,1269,43.8,5709,9.0
ACTUAL,MANPOWER_PER_KG,TOP88,MANPOWER_PER_KG,6978,0,961,0,21,5955,41,14.1,1269,42.1,5709,7.8
ACTUAL,OVERHEAD_PER_KG,TOP89,OVERHEAD_PER_KG,6978,0,1684,0,0,5253,41,24.1,1269,50.5,5709,18.3
ACTUAL,SPARES_PER_KG,TOP90,SPARESCOST_PER_KG,6978,0,1441,0,0,5496,41,20.7,1269,49.7,5709,14.2
ACTUAL,FIXED_TOTAL_KG,TOP91,TOTAL_FIXEDCOST_PER_KG,6978,0,783,0,188,5966,41,13.9,1269,41.8,5709,7.7
ACTUAL,CAP_BEFORE_QLOSS,TOP94,CAPTIVE_COST_BEFORE_QLOSS,6978,0,1,0,17,6919,41,0.3,1269,0.1,5709,0.3
ACTUAL,DEL_BEFORE_QLOSS,TOP95,DELIVERY_COST_BEFORE_QLOSS,6978,0,0,0,19,6918,41,0.3,1269,0.5,5709,0.2
ACTUAL,CAP_WITH_QLOSS,TOP105,CAPTIVE_COST_QLTY_LOSS,6978,0,1,0,11,6925,41,0.2,1269,0.1,5709,0.2
