left_no,cyl_sys_id,legacy_name,legacy_type,new_product_code,cost_type,in_orion_scope,final_metric,final_status,cause_layer,cause_note,legacy_final,new_final,rm_rate_L,rm_rate_N,rm_landed_L,rm_landed_N,waste_L,waste_N,rm_norm_L,rm_norm_N,fixed_total_L,fixed_total_N,cap_pack_L,cap_pack_N,oil_L,oil_N,mb_cost_L,mb_cost_N,legacy_modified
1,20211003143,POY 380/144/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606002041,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3803,1.2917127899225282,.9974,1.08382,1.0224,1.08382,.02,0.02,1.0058,1.0061,.1627,0.16264030643065203,.0078,0.015309942682967235,.0144,0.01307955,.1579,0.15890896999999998,2026-08-02
10,20211003152,POY 380/144/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606002049,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.3894,1.2776047534466892,1.0131,1.08382,1.0269,1.08382,.02,0.02,.9917,0.993,.1434,0.16264030643065203,.0078,0.015511916750587449,.0205,0.01307955,.1966,0.16162470000000004,2022-12-01
100,20211003242,TTY 480/288-120/TBL/DBR/NI/ACDH/SN/1/S,TTY,CSTTTY2606000262,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8393,1.1300197106427026,1.6919,1,1.6919,1,.002,0.002,1.002,1.002,.0843,0.10070477843915344,.0301,0.01501996007984032,0,0,,,2023-08-03
1000,20211002873,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000317,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3303,1.365694311643281,1.9791,1,1.9791,1,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-01
10000,20250401000000000000002178034,TCM 2660/4032-160/RND/DSD/LIM/MDH/T5/1/Z/CITRA-A,MEEREBAH,CSTTCM2606000012,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9502,1.2105048266326477,1.6786,1,1.6786,1,.008,0.008,1.008,1.008,.168,0.16968735880044475,.02,0.02500000000000001,0,0,,,2026-03-03
10001,20250401000000000000002178161,TCM 2660/4032-160/RND/DBR/LIM/MDH/T5/1/Z/CITRA-A,MEEREBAH,CSTTCM2606000004,ACTUAL,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.6016,1.2105048266326477,2.3003,1,2.3003,1,.008,0.008,1.008,1.008,.1711,0.16968735880044475,.029,0.02500000000000001,0,0,,,2026-09-02
10002,20250401000000000000002178288,PTY 75/72/RND/SD/SIM/DH/N/1/Z,PTY BO,CSTPTY2606001202,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6492,1.5492359250048489,1.056,0.929603,1.056,0.929603,.007,0.007,1.007,1.007,.5188,0.522923938336242,.0226,0.010363816917938072,.0298,0.03374,,,2025-04-02
10003,20250401000000000000002178415,PTY 75/36/RND/RSD/NI/DH/N/1/S,PTY,CSTPTY2606004823,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.4635,1.6754981723396467,1.5934,1,1.5934,1,.0075,0.0075,1.0075,1.0075,.6043,0.6136926096603514,.0153,0.008216636098824037,.0256,0.028679,,,2026-07-01
10004,20250401000000000000002178542,PTY 150/36/RND/RSD/NI/DH/N/1/S,PTY,CSTPTY2606004821,ACTUAL,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6917,1.3437866439508528,1.3671,1,1.3671,1,.006,0.006,1.006,1.006,.2865,0.2848583877995643,.0131,0.010286109430374276,.0255,0.028679,,,2026-07-01
10005,20250401000000000000002169097,POY 245/144/RND/RDSD/SIM/NS/1/O,POY,CSTPOY2606003524,ACTUAL,Y,CAP_WITH_QLOSS,differ,PARAMETER_NORM,RM norm berbeda (turunan waste/dozing),1.5011,1.3816126413451724,1.0419,1.07312,1.0731,1.07312,.035,0.035,.9993,1.014,.2556,0.25557762439102455,.0078,0.015035657260931987,.014,0.0118905,.1332,0.08404410000000002,2026-09-01
