group_code_lama,nama,uuid_lama,group_code_klarifikasi,nama_klarifikasi,uuid_baru,route_rm_refs,mb_recipe_refs,status
202006002,PIG0000005,af7df1ef-2f66-4d0d-9cf5-67bf8003846c,202007204,YELLOW MGTP-2159,a75f29fe-5f86-431a-8cb3-84cf4afdfd8b,259,258,remap
202006010,PIG0000016,72dcf681-db84-4bfb-a69c-8da8efef7cf0,202007167,GREEN MGTP-4014,625ce6fa-448c-486e-b3a9-ff0d439164ca,1,1,remap
202006011,CHM0000098,e38fb390-a535-49be-b164-b29475509769,202007619,LICOWAX-E,5c80b66a-9d12-4d1f-9ae8-695c45cbfbd3,98,98,remap
202006014,DYE0000014,3e1a52a3-d016-4576-8cdd-8db9b081ba1a,202007161,BLUE MGTS-5054,f33f902c-34ed-4f13-8322-642cab48cbdb,13,13,remap
202006023,PIG0000016-CLA,270e8da5-ab77-4925-87a6-0bf7647c57e6,202007600,GREEN MGTP-4014-CLA,45e588b4-5caa-4eb5-b008-478616625990,0,0,tanpa referensi - tidak perlu aksi
202006051,DYE0000001,6d3cbb26-2e6d-4183-a313-d19c5be56315,202007176,OPTICAL BRIGHTNER-1 (FWA-393),94d667e0-d81c-41af-8edc-b8e1147ae56a,22,21,remap
202006054,PIG0000024-CLA,7860fd5c-d425-4dd1-999b-eded2770ef88,202007594,BLUE MGTP-5153-CLA,dee560b5-8c65-4bb8-b221-0fbe2a05dfa6,0,0,tanpa referensi - tidak perlu aksi
202006084,DYE0000006,7f543b6f-e865-4a34-8eea-1256052ec10e,202007179,ORANGE MGTS-3072,5c9c707c-3911-407d-9c4c-ab5731db75ed,20,20,remap
202007173,HOMBITON LCS,94c58a48-c8d2-4056-bf2b-1ffe0687d904,202007618,HOMBITAN LCS,ef71b0bb-8023-4457-a402-23acfb556612,54,54,remap
202007182,PV FAST RED BNP,68e3d31f-750b-4573-b76c-03bf2523f45b,202007191,RED MGTP-3221 CLA,2bd22794-903d-48c6-9230-8118fcc3293f,13,13,remap
202007184,"POLY. IRON STONE MG-TR-120 LOT.A-3524 B, S.CODE : S6033F",e830d8cd-c26c-4f76-9a87-314d360c6a05,202007184,"POLY. IRON STONE MG-TR-120 LOT.A-3524 B, S.CODE : S6033F",e830d8cd-c26c-4f76-9a87-314d360c6a05,3,3,NO COST (dikonfirmasi IT Lead) - ditangani PAKET 02
