group_code,new_group_name,klarifikasi,legacy_erp_code,legacy_group_name,legacy_rate_ACTUAL,legacy_rate_SELLING,legacy_market_rate1_fix,route_rm_refs,mb_recipe_refs
202006015,PIG0000038,ITEM NOT FOUND,PIG0000038,CROMOPHTAL RED K 3900 FP,40.3393797542422469280280866003510825044,40.3393797542422469280280866003510825044,,0,0
202006074,MBB0000041,ITEM NOT FOUND,MBB0000041,MBB0000041,1.97599039615846338535414165666266506603,1.97599039615846338535414165666266506603,,0,0
202007184,"POLY. IRON STONE MG-TR-120 LOT.A-3524 B, S.CODE : S6033F",NO COST (dikonfirmasi IT Lead 2026-09-10),POLY. IRON STONE MG-TR-120 LOT.A-3524 B  S.CODE : S6033F,POLY. IRON STONE MG-TR-120 LOT.A-3524 B  S.CODE : S6033F,16.12,16.12,,3,3
202007199,TIO2 LWS-100,ITEM NOT FOUND,TIO2 LWS-100,TIO2 LWS-100,3.17243822004295849515089713826994424074,2.96490272109612580123675910329312547339,,0,0
202007672,"POLY. LILAC PURPLE TR-242-MGT, A-5220-A, S CODE : S5994F",ITEM NOT FOUND,POLY. LILAC PURPLE TR-242-MGT  A-5220-A  S CODE : S5994F,POLY. LILAC PURPLE TR-242-MGT  A-5220-A  S CODE : S5994F,8.694,8.694,,1,1
202007683,MBC0000083,NO COST,MBC0000083,POLY. PINK TR-173-MGT A-4429  S.CODE : S3710F,,6.7,,2,2
202011603,SPD0000005,NO COST,SPD0000005,SPD 40/1/RND/PU/NI/NS/1/O,4.27175182748538011695906432748538011696,4.14733187134502923976608187134502923977,,0,0
202209635,IRGASTAB 8201P,ITEM NOT FOUND,IRGASTAB 8201P,IRGASTAB 8201P,190,190,,3,3
202211651,RED MGTP-3149C,NO COST,PIG0000041,RED MGTP-3149C,195,195,,2,2
202302665,MGT LIGHT COLOUR,NO COST,LIGHT,MGT LIGHT COLOUR,,10,,1,1
202302666,MGT MEDIUM COLOUR,NO COST,MEDIUM,MGT MEDIUM COLOUR,,11,,1,1
202302667,MGT DARK COLOUR,NO COST,DARK,MGT DARK COLOUR,,12,,1,1
202302668,MGT EXTRA DARK COLOUR,NO COST,EXTRA DARK,MGT EXTRA DARK COLOUR,,16,,1,1
202303675,BLANC FIXE HXM,NO COST,BLANC FIXE HXM,BLANC FIXE HXM,6.156,6.156,,1,1
202403761,PE GIALLO 2028,NO COST,MBC0000116,PE GIALLO 2028,,48.33,,1,1
202408790,HOSTASTAT FE 20 LIQUID,NO COST,HOSTASTAT,HOSTASTAT FE 20 LIQUID,14.543,13.5,,1,1
202409794,UV MB (TURKEY),NO COST,UV MB (TURKEY),UV MB (TURKEY),,45,,1,1
202411807,ORACET YELLOW 140 NQ,NO COST,ORACET YELLOW 140 NQ,ORACET YELLOW 140 NQ,,109.98,,2,2
202411808,PALIOGEN RED K3911,"ERROR, HAS TO CHECK BY DEV",PPIG0000056,RED MGTP-3221 B (PALIOGEN RED K3911),209,209,,4,4
202411810,HELIOGEN BLUE K6912FP (BASF),NO COST,HELIOGEN BLUE K6912FP (BASF),HELIOGEN BLUE K6912FP (BASF),42,40.584,,3,3
202411811,PALIOTOL YELLOW K 18100 UL (BASF),NO COST,PALIOTOL YELLOW K18100,PALIOTOL YELLOW K 18100 UL (BASF),,47,,1,1
202411812,HELIOGEN GREEN K 8730 FP ( BASF),NO COST,HELIOGEN GREEN K 8730,HELIOGEN GREEN K 8730 FP ( BASF),35.7,39.78,,2,2
202411815,MASTERSET PES 1272,NO COST,MASTERSET PES 1272,MASTERSET PES 1272,,21.7,,1,1
202412821,CINGUASIA PINK K4430 FP (BASF),NO COST,CINGUASIA PINK K4430 FP (BASF),CINGUASIA PINK K4430 FP (BASF),96,96,,1,1
202504845,ORACET YELLOW 144 FE,NO COST,ORACET YELLOW 144 FE,ORACET YELLOW 144 FE,,102,,1,1
202506861,UV-PES-1879-GREEN 66BT,NO COST,UV-PES-1879,UV-PES-1879-GREEN 66BT,43,17.48,,1,1
202506866,TINUVIN 1600 BASF,NO COST,TINUVIN 1600 BASF,TINUVIN 1600 BASF,,220,,1,1
202509875,SICOTRANS ROT K 2915,NO COST,SICOTRANS ROT K 2915,SICOTRANS ROT K 2915,,39,,1,1
202511901,MASTERSET PES 1336 UV-SETAS,NO COST,UV MB SETAS,MASTERSET PES 1336 UV-SETAS,,42.18,,1,1
202606935,CROMAPTHAL VIOLET 5800,NO COST,CROMAPTHAL VIOLET 5800,CROMAPTHAL VIOLET 5800,,97.5,,1,1
202606936,PES 1561 BLACK+ ANTIMICROBIAL,NO COST,PES 1561 BLACK+ ANTIMICROBIAL,PES 1561 BLACK+ ANTIMICROBIAL,,25,,1,1
202606937,PES 1273  WHITE ANTIMICROBIAL,NO COST,PES 1273  WHITE ANTIMICROBIAL,PES 1273  WHITE ANTIMICROBIAL,,38,,1,1
