legacy_group_sys_id,legacy_erp_code,legacy_group_name,jenis,item_aktif,dipakai_line_resep_legacy,dipakai_head_resep_legacy,legacy_landed_cost,legacy_market_rate1,ada_di_sistem_baru,rekomendasi
202007175,NOVANIK-1010,NOVANIK-1010,RM,CHM0000097,0,0,0,0,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat"
202007198,TIO2 LCS,TIO2 LCS,RM,PIG0000048,0,0,0,0,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat"
202011599,SPD0000001,SPD 20/1/RND/BRT-PU/NI/NS/1/O,YARN,SPD0000001,0,0,0,4.25,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202011600,SPD0000002,SPD 44/1/RND/PU/NI/NS/1/O,YARN,SPD0000002,0,0,0,0,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202011602,SPD0000004,SPD 78/1/RND/PU/NI/NS/1/O,YARN,SPD0000004,0,0,0,0,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202011607,POY0000001,POY 100/24/RND/SD/SIM/NS/1/O,YARN,POY0000001,0,0,0,0,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202209637,FDY 75/36,FDY 75/36/RND/SD/SIM,YARN,FDY0000006 FDY0000009,0,0,1.456,1.61,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202209638,POY 80/72,POY 80/72/RND/SD/SIM,YARN,RMP0000032 RMP0000059,0,0,1.309,1.309,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202312733,IDY 150/48 BR (GDP 8.5),IDY 150/48 BR (MIN GDP 7.5),YARN,RMT0000025,0,0,0,1.79,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202505854,RMP0000107,POY 310/288/RND/SD/SIM/NS/1/O,YARN,RMP0000107,0,0,7.83125,1.04,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202511905,IDY 300D / GPD-7,IDY 300D / GPD-7,YARN,RMT0000037,0,0,2.65625,2.03,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
202608943,PIG0000085,TEXTTONE VIOLET 5830 DDR,RM,PIG0000085,1,1,39.13525,37.6,TIDAK ADA,DIPAKAI 1 resep legacy (head 20260805400 TAWANG BL) - TAPI head itu sendiri legacy-only/tidak dimigrasikan -> hanya perlu dibuat kalau head-nya juga dimigrasikan
202608944,DTY 300/288 CAT,PTY 300 / 288 CATIONIC,YARN,RMT0000032,0,0,5.47022377506794975391170204951149636377,1.91,TIDAK ADA,"TIDAK DIPAKAI di resep legacy -> aman di-retire, tidak perlu dibuat | BENTUK: spec yarn -> di sistem baru semestinya PRODUCT (crm_rm_type='PRODUCT'), bukan RM group"
