mbs_oracle_sys_id,spin_name,mbs_ldr_calculated_pct,mbs_run_ldr_pct,adjustment_yang_diusulkan
202104001,LIME GREEN BR,1.5000,1.8200,0.3200
202104004,CROSS GY,2.0000,1.9500,-0.0500
202104006,SHALE GY,1.6000,1.4600,-0.1400
202104011,ORIGINAL BN,2.4500,2.3800,-0.0700
202104022,KREMLIN RED,1.8000,1.7900,-0.0100
202104023,CORSICA BL,3.1500,3.4000,0.2500
202104024,STELLA BLUE,1.8200,1.7500,-0.0700
202104025,SAUNA GY,2.4200,2.1800,-0.2400
202104027,FIRDAUS GREEN BR,1.6000,1.2500,-0.3500
202104028,KEKAI BN BR,3.1200,3.1500,0.0300
202104029,SERIES GY BR,1.5800,1.6000,0.0200
202104030,THEO GY BR,2.0000,1.9500,-0.0500
202104032,KARMINE BEIGE BR,1.3800,1.2200,-0.1600
202104033,EXTEND BLUE BR,1.7500,1.7000,-0.0500
202104037,WHITE PLUS,1.1600,1.2100,0.0500
202104038,WHITE PLUS L,1.1600,1.0000,-0.1600
202104039,WHITE PLUS D,1.1600,1.2600,0.1000
202104042,POETRY GREY,1.0600,1.1400,0.0800
202104047,FOLIAGE GN BR,2.2600,1.9500,-0.3100
202104056,UNIFORM BLUE BR,2.1000,2.1300,0.0300
202104057,HONNEY BROWN BR,0.8300,0.8900,0.0600
202104065,BOXER GY,1.3000,1.5000,0.2000
202104066,ACCEL GY,1.2500,1.3500,0.1000
202104078,MALI BN BR,2.6000,2.3500,-0.2500
202104082,BROWNIE,3.2400,2.6200,-0.6200
202104083,RICH GOLD BR,2.2000,1.5100,-0.6900
202104088,GETHUK CM,1.1600,1.1900,0.0300
202104096,PD.GREEN,2.6000,2.7100,0.1100
202104097,SWEAT BROWN BR,1.8700,1.4500,-0.4200
202104098,PAGE BN,2.9700,2.4000,-0.5700
202104107,RAGA CM,1.8400,1.8800,0.0400
202104109,MAMORU GN,2.5800,2.6200,0.0400
202104114,PINEAPPLE YELLOW,1.3200,1.3300,0.0100
202104121,BUTTER BG,1.4300,1.5000,0.0700
202104124,WESTERN BL,2.3000,2.1700,-0.1300
202104130,MALLARD MN BR,4.3000,4.0000,-0.3000
202104134,QUIET CM,1.5300,1.4800,-0.0500
202104135,DUCK BN,2.0000,2.0500,0.0500
202104136,CORNET BN,2.0000,2.0500,0.0500
202104141,CRISTY GY,3.0000,3.0500,0.0500
202104145,SAME GREY,1.5500,1.4400,-0.1100
202104147,BOOK GREY BR,1.8000,1.5000,-0.3000
202104148,SAHARA GREY,1.7200,1.6400,-0.0800
202104150,BLUE PRINT BR,4.5000,3.2500,-1.2500
202104158,STEEL GREY,2.3500,1.8200,-0.5300
202104160,ABSTRAC BROWN,2.1800,2.4500,0.2700
202104161,EXPRESS MAROON,2.4000,2.4500,0.0500
202104165,IDEA GREY,1.4700,1.4300,-0.0400
202104168,MOZAIC BROWN BR,0.8900,0.8000,-0.0900
202104170,BORNEO GREEN BR,1.8000,1.5900,-0.2100
202104171,CASA BLUE,3.4500,3.4100,-0.0400
202104172,EMGE BLUE,2.6500,3.8700,1.2200
202104173,CLASSIC BLUE,2.6500,3.7800,1.1300
202104176,COFFEE BR,2.9000,2.9500,0.0500
202104182,SLANE GY BR,0.9500,1.0000,0.0500
202104183,CLEAN GY BR,0.9800,0.8400,-0.1400
202104184,TUNIC MN BR,1.7500,1.6800,-0.0700
202104185,SETTIA RD,4.4300,3.9800,-0.4500
202104187,CORAL SAND,1.5000,1.3500,-0.1500
202104188,POWDER BLUE,2.3500,2.6000,0.2500
202104190,CHIKOO BG,1.9000,1.7800,-0.1200
