mbs_oracle_sys_id,spin_name,metric,kolom_target,nilai_lama_goapps,nilai_baru_dari_legacy,delta_dihapus,legacy_check_status,new_status,is_active,mbs_ldr_calculated_pct
202104024,STELLA BLUE,LDR_AKTUAL,mbs_run_ldr_pct,1.7500,1.53,0.2200,Approved,Spinning,Y,1.8200
202104068,VENUS RD BR,LDR_AKTUAL,mbs_run_ldr_pct,2.0800,2.01,0.0700,Current,Spinning,Y,2.0800
202104172,EMGE BLUE,LDR_AKTUAL,mbs_run_ldr_pct,3.8700,3.23,0.6400,Waiting,Spinning,Y,2.6500
202104226,RADIO BL,LDR_AKTUAL,mbs_run_ldr_pct,2.3700,2.19,0.1800,Current,Spinning,Y,2.0600
202104292,GLADSOME BR,LDR_AKTUAL,mbs_run_ldr_pct,1.7700,1.6,0.1700,Current,Spinning,Y,1.6700
202104293,CAFE LEON,LDR_AKTUAL,mbs_run_ldr_pct,3.7000,3.75,-0.0500,Current,Spinning,Y,3.6500
202104296,DARK WINE,LDR_AKTUAL,mbs_run_ldr_pct,2.3400,2.35,-0.0100,Current,Spinning,Y,2.3400
202104300,BEIGE,LDR_AKTUAL,mbs_run_ldr_pct,1.2500,1.20,0.0500,Current,Spinning,Y,1.4800
202104307,EARTH,LDR_AKTUAL,mbs_run_ldr_pct,1.8600,1.92,-0.0600,Current,Spinning,Y,1.9200
202104318,COBALT BLUE BR,LDR_AKTUAL,mbs_run_ldr_pct,3.6400,3,0.6400,Waiting,Spinning,Y,3.6500
202104320,SPINACH GREEN BR,LDR_AKTUAL,mbs_run_ldr_pct,3.0000,2.55,0.4500,Waiting,Spinning,Y,3.4500
202104351,LARK BEIGE,LDR_AKTUAL,mbs_run_ldr_pct,1.5200,1.34,0.1800,Current,Spinning,Y,1.4700
202104368,MULTI BLUE BR,LDR_AKTUAL,mbs_run_ldr_pct,1.8900,1.96,-0.0700,Current,Spinning,Y,1.5000
202104393,LOMO BROWN BR,LDR_AKTUAL,mbs_run_ldr_pct,3.4500,3.41,0.0400,Current,Spinning,Y,3.4500
202104399,DISTAN GY,LDR_AKTUAL,mbs_run_ldr_pct,1.6700,1.76,-0.0900,Current,Spinning,Y,1.5300
202104436,MILIM BL,LDR_AKTUAL,mbs_run_ldr_pct,3.6700,2.45,1.2200,Waiting,Spinning,Y,3.6000
202104513,SURF BLUE,LDR_AKTUAL,mbs_run_ldr_pct,2.1600,2.07,0.0900,Current,Spinning,Y,2.1000
202109581,DARK VERMELHO,LDR_AKTUAL,mbs_run_ldr_pct,1.7100,1.5,0.2100,Waiting,Spinning,Y,1.8000
202110592,FUEGO BL,LDR_AKTUAL,mbs_run_ldr_pct,2.0100,2.28,-0.2700,Waiting,R and D,N,2.0000
202110596,CLASSIC BL BR,LDR_AKTUAL,mbs_run_ldr_pct,3.7200,4.27,-0.5500,Waiting,Spinning,Y,2.6500
202110598,SEXY PL,LDR_AKTUAL,mbs_run_ldr_pct,1.4800,1.51,-0.0300,Waiting,Spinning,N,1.5500
202110604,ARSENE RD,LDR_AKTUAL,mbs_run_ldr_pct,2.2900,2.19,0.1000,Current,Spinning,Y,2.3000
