crm_rm_id,crm_parent_product_sys_id,crm_rm_type,crm_rm_group_code,crm_updated_at,crm_updated_by
15799,2128,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15800,2129,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15801,2130,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15802,2131,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15803,2132,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15804,2133,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15805,2134,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15806,2135,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15807,1610,GROUP,202006078,2026-06-29 22:42:43.244391+07,admin
15808,2136,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15809,2137,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15810,2138,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15811,2139,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15812,2140,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15813,2141,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15814,2142,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15815,2143,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15816,2144,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15817,2145,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15818,2146,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15819,2147,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15820,2148,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15821,2149,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15822,2150,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15823,2151,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15824,2152,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15826,2128,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15828,2129,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15830,2130,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15832,2131,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15834,2132,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15836,2133,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15838,2134,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15840,2135,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15841,1611,GROUP,202006078,2026-06-29 22:42:43.244391+07,admin
15843,2136,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15845,2137,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15847,2138,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15849,2139,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15851,2140,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15853,2141,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15855,2142,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15857,2143,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15859,2144,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15861,2145,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15863,2146,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15865,2147,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15867,2148,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15869,2149,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15871,2150,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15873,2151,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15875,2152,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15876,2574,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15879,2128,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15882,2129,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
15885,2130,GROUP,202006106,2026-06-29 22:42:43.244391+07,admin
