group_head_id,group_code,group_name,flag_valuation,flag_marketing,flag_simulation,init_val_valuation,init_val_marketing,init_val_simulation,updated_at,updated_by
af7df1ef-2f66-4d0d-9cf5-67bf8003846c,202006002,PIG0000005,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
e0c66cd5-bb93-40f5-a1b4-92b7130ccff2,202006003,CHM0000118,CONS,CONS,CONS,,,,,
d541c910-53ed-4d1c-adf2-0d58f2afb8e0,202006004,DYE0000015,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
8cabaa6e-87df-4bc6-a0d9-f7b5cc9596a5,202006005,DYE0000012,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
8aca267e-2827-4a54-a6c2-0d2fb9dc86c5,202006007,MBB0000066,CONS,CONS,CONS,,,,,
87bb9209-fa72-4189-bdf3-19fc445bcea3,202006008,PIG0000029,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
72dcf681-db84-4bfb-a69c-8da8efef7cf0,202006010,PIG0000016,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
e38fb390-a535-49be-b164-b29475509769,202006011,CHM0000098,CONS,CONS,CONS,,,,,
f694df52-cb1b-4156-96a7-f0e22d997b4d,202006012,CHM0000123,CONS,CONS,CONS,,,,,
27961b3f-b7cb-4543-bcda-c05e0114fdcb,202006013,CHM0000143,CONS,CONS,CONS,,,,,
3e1a52a3-d016-4576-8cdd-8db9b081ba1a,202006014,DYE0000014,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
a20a215a-20c3-4582-8a83-aefa5ad1f634,202006015,PIG0000038,CONS,CONS,CONS,,,,,
f21d1d86-f821-4a6c-863e-74f943215a4c,202006016,FDY0000007,CONS,CONS,CONS,,,,,
90177c29-b28e-485a-8946-9e170a9bc40f,202006018,MBB0000064,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
2d6a5b56-b5d1-40b1-8189-5fed212752f8,202006022,RSD,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
270e8da5-ab77-4925-87a6-0bf7647c57e6,202006023,PIG0000016-CLA,CONS,CONS,CONS,,,,,
0f76a702-685d-4071-bc83-ff891645ff1e,202006024,CHM0000119,CONS,CONS,CONS,,,,,
2800af77-562b-41cb-b11d-33272ac032ba,202006025,SEBOSAN PES,CONS,CONS,CONS,,,,,
7a30ef7f-e4b8-4971-aa5b-1c0aefd400c6,202006031,MBB0000062,CONS,CONS,CONS,,,,,
613e74fd-4543-4079-9498-77a770780044,202006032,MBB0000069,CONS,CONS,CONS,,,,,
7a1b8941-bda5-4cbe-a59b-6770b378f332,202006033,SPIN FINISH SUPERBA,CONS,CONS,CONS,,,,,
78f92869-93a5-4c41-a58a-123693de1124,202006039,CHM0000121,CONS,CONS,CONS,,,,,
52f62b00-d830-4245-af63-bfc953df104c,202006040,CHM0000135,CONS,CONS,CONS,,,,,
629c0c14-a9ed-4067-8ff1-c70f6a677642,202006043,DYE0000010,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
388a3d98-3ed1-4717-8c10-414cd2b31fd4,202006045,CHM0000122,CONS,CONS,CONS,,,,,
0fcf96b8-83ff-447a-bbd4-788ff16d6aab,202006046,CHM0000126,CONS,CONS,CONS,,,,,
23042d16-9c6b-4790-a6c7-5f3aae96d9dc,202006047,DYE0000013,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
1fa04649-4ab9-4f54-9e85-133c5d14f6c0,202006049,FDY0000004,CONS,CONS,CONS,,,,,
6d3cbb26-2e6d-4183-a313-d19c5be56315,202006051,DYE0000001,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
d4eb93bc-0460-49d6-ab35-88b767ab4357,202006053,FR,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
7860fd5c-d425-4dd1-999b-eded2770ef88,202006054,PIG0000024-CLA,CONS,CONS,CONS,,,,,
7bb0b1aa-3195-4191-9ed8-f4ea4aa355a8,202006055,CHM0000099,CONS,CONS,CONS,,,,,
31415341-6703-4c9a-8d49-5b08e33179bf,202006056,CHM0000117,CONS,CONS,CONS,,,,,
ba9a8113-5ecd-4d8a-88d3-59f9cfaa2a09,202006057,CHM0000131,CONS,CONS,CONS,,,,,
9427d00b-d1e6-42f7-8288-9579be77bd68,202006058,CHM0000133,CONS,CONS,CONS,,,,,
4cccb44d-0050-4b61-b837-c7e10caee8b9,202006059,CHM0000137,CONS,CONS,CONS,,,,,
11b01cd0-8d4e-49f9-ad08-c971cfb064a1,202006060,CHM0000138,CONS,CONS,CONS,,,,,
e9eaedac-6123-4d7f-b83e-b0ca0cf310ad,202006061,CHM0000140,CONS,CONS,CONS,,,,,
9ed68b21-a24f-437a-90f9-943248bb20fb,202006062,VSY0000001,CONS,CONS,CONS,,,,,
969ab842-6b82-475c-b9ca-c50faf356fd5,202006063,VSY0000002,CONS,CONS,CONS,,,,,
e4733356-49a5-44be-b782-bad37a87289b,202006066,FDY0000005,CONS,CONS,CONS,,,,,
f628f79c-ee20-423c-a8ce-ba63f3a1ebf7,202006067,MBB0000061,CONS,CONS,CONS,,,,,
42cb7ffd-0d3f-4476-9897-4be6059c3ad7,202006069,CHM0000116,CONS,CONS,CONS,,,,,
129f5f26-c7b7-49a9-bff1-14bcb109b70a,202006070,RMP0000055,CONS,CONS,CONS,,,,,
2aacf841-996a-4e5b-af55-772f8232678a,202006072,PIG0000028,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
d56d6466-0f62-41e2-a24f-51b483ef5a43,202006074,MBB0000041,CONS,CONS,CONS,,,,,
02490066-4a8c-411a-91da-b1932adf3ed9,202006075,MBB0000002,CONS,CONS,CONS,,,,,
f4e3af82-1b9f-4cc3-9bbd-f91ce99e927b,202006077,SPIN FINISH OIL,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
4dd813d2-09f1-43c0-a3cb-1837d21dac8f,202006078,SD,CONS,CONS,CONS,,,,2026-07-20 09:00:45.617912+07,indraputro
e21cf1d0-8597-470f-bf7a-1ccbf34e5a63,202006079,CHM0000120,CONS,CONS,CONS,,,,2026-07-22 10:44:08.414957+07,migration_mkt_freight_20260722
3d4951df-0f4a-41ea-a9e5-07a5000d7a28,202006080,RMP0000053,CONS,CONS,CONS,,,,,
