mbs_id,mbs_oracle_sys_id,mbs_run_ldr_pct,mbs_ldr_prsn,mbs_ldr_calculated_pct,mbs_ldr_adjustment_pct,updated_at,updated_by
000fdf50-e711-4a4e-b9f4-dfccb14f8481,202402630,3.0000,3.0000,3.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
00179716-822e-43ad-9169-1b01aa644bd0,202603767,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
003727e9-4f4c-4dcc-9b61-3da26a5b855e,202410983,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
005d5f30-8a79-432f-9838-ee03d83ebc1e,202408858,1.1500,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
00907668-3d0d-4d3b-b3e7-0b9f0937ab8b,,,,2.5000,,2026-09-09 08:52:39.893543+07,admin
0099d288-f3e3-4169-8ea8-015540cd5805,202104400,1.6700,,1.6500,,2026-09-09 08:52:44.854599+07,admin
00a2a0b5-825a-4bef-8ae4-8189bec15cf0,202208905,2.0600,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
00e29833-82a4-4e34-8dcd-d21e94ce9945,202502203,8.5000,8.5000,8.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
00f09170-62fe-4a7c-aa84-2a691ffd8416,202601699,4.0000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
00ff5a7f-910f-4e18-8fb8-2a5256b1c55e,202411036,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
010baf71-4a7a-4ff2-9c77-fc9e23d379fe,202104412,4.1000,,4.0000,,2026-09-09 08:52:49.697807+07,admin
012e2dc9-da69-4a9d-9471-4c40061c2fa1,202512627,5.0000,5.0000,5.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01529819-14f1-4edd-bb63-d68303855830,202507423,2.5000,2.5000,2.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01598ae8-6a96-47b3-ac54-de96dc7ab8ce,202204804,1.7800,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0166d85a-070e-4789-87e0-5336dd24801e,202408834,3.5000,3.5000,3.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01687906-7bfd-417e-b9a1-fdc360cca975,202301125,5.3000,5.1000,5.1000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
01729ea5-e3f1-4c17-a687-73987c216805,202110592,2.0100,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
017310fb-ace4-47df-8aeb-e0fc56e97766,202207883,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
01a5c08a-b682-4744-a255-560d37f96767,,,,1.4800,,2026-09-09 08:52:38.349619+07,admin
01ad79b8-7b80-4249-89e1-7e4bab2093ba,202508438,2.0800,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01b51368-ea76-4a9e-87c2-2cebc311e1ef,202104231,1.5000,,1.5000,,2026-09-09 08:52:51.88681+07,admin
01bc8d21-072c-4255-bbcb-d96dc20067cb,202312562,2.1000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01bda782-14ca-408f-9d21-e2fbb5fc59a7,202506325,4.0000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
01df0ad1-2bb7-4468-ac4e-d86ec2cb3c86,202309488,2.2300,2.1600,2.1600,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0210c4b4-10bc-4c4a-96b6-b20ab43e8b17,202509506,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
024f735c-b7ae-4a55-b95f-a37acf94e169,202308424,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
025144c7-3d21-487c-be5f-d9e2d678d7bd,202206856,2.5000,,2.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
027bbdff-8917-41a4-96b9-e8232396d962,202104512,1.3500,,1.5000,,2026-09-09 08:52:58.710762+07,admin
0292742b-aa2b-49b4-a262-cfe18ea2cae1,202602745,1.5000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
02e7c33e-a544-48d8-ae37-be117fe8a7e9,202309452,3.5000,3.5000,3.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
02f245c7-cfde-4736-a902-947c0073da3e,202301117,2.3200,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
02f3d7cb-fdaf-46ad-a721-e113f4d29a07,202604859,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0314dfe6-e86c-4d97-888e-45d24a402775,202403641,3.0000,3.0000,3.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
034ed617-3e12-44ca-82cd-83886d3ea91c,202501081,1.0000,1.0000,1.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
03614a91-48c5-4346-be1f-c33759223b1c,202302140,2.2500,,,,2023-02-14 00:00:00+07,SINTIA
0361e499-a1ab-411a-a82e-be0cd4c9bc71,202409899,3.0000,3.0000,3.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
03778263-2ef5-4bd6-aff7-1a6da7127a57,202301106,2.0400,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
03838138-535b-4f14-8f65-ce1707846890,202310513,1.9200,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
03a77c6e-4b1a-4c2e-9ecd-b2efab519804,202403639,6.0000,5.0000,5.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
03aae525-5656-4821-a0b8-204b5852f621,202206859,3.0000,,3.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
03ad47f8-5428-4a96-aa79-12a8d7730fe9,202508437,2.2200,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
03ec83d8-73c7-49f0-a7f0-d1fd7a55cf87,202507414,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
042590fe-cec2-478b-b839-5641c7e3a1e3,202411045,3.8300,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
042ce85d-64e6-459b-b84b-cbc427185be2,202306283,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
043bfe71-b750-4d9d-aab0-d4ae10143239,202408828,1.0000,1.0000,1.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
043ce5b9-0516-4b12-85e2-36c1a0105d1e,202501161,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04673948-d604-4525-8a89-e2e3e8d1bd06,202308406,3.5000,3.5000,3.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
046e09ea-2578-452b-b2ad-bbf876247ded,202604848,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04761aef-c002-4e6f-9938-559dfc0ee1ca,202110611,1.8300,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
047db2e5-7cd9-47ed-a53f-cc880372dad2,202104319,3.2400,,3.2500,,2026-09-09 08:52:38.775867+07,admin
0481b248-c627-440a-95b6-9dcbacfb7505,202507385,3.0000,3.0000,3.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0489c70e-db59-4a4a-98f2-e8557376179e,202411044,3.8000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04a3b49d-038d-43a4-adb2-405d2ab120b8,202208912,2.0000,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
04a7af49-0971-40b4-8ecd-a0d81d8bcb76,202212077,1.9000,1.8000,1.8000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
04b3b015-4a90-479c-94b8-198b979677a8,202511580,2.5000,2.5000,2.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04c7cb12-aecd-4f0b-ac5a-95661b6c8719,202309495,2.4000,,1.8400,,2026-09-09 08:52:45.193902+07,admin
04c9eff1-864e-45af-831a-9b2af33a237e,202308372,3.5000,3.5000,3.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04daed88-39d1-47e3-9172-0dc7d3743328,202406747,3.5000,3.5000,3.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
04fd1049-53f8-4925-a660-0312faa8c498,202206873,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
05053a39-6bfb-4a8a-995d-d7a27723ad0b,202203756,2.0000,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0528802f-a350-4a6e-baf3-0b9ab96f32c6,,,,1.7000,,2026-09-09 08:52:39.624642+07,admin
05452b14-e520-48c3-a76d-436a0b40ade8,202501170,4.0000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0562027d-bb0b-4816-b339-30224aec7b0d,202509537,1.6500,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
05a45fa1-4b72-4c85-8c87-34ab81be7986,202507405,5.0000,5.0000,5.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
05bb3940-293e-40a4-ab8a-80f229be88d3,202207887,4.0000,4.0000,4.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
05d7c4a0-3e3c-4139-ac8c-31d92724199c,202106525,1.7300,1.5000,1.5000,,2026-09-09 08:52:54.179234+07,admin
060ce5c0-f213-4cc9-af57-5c434a85953c,202104348,4.3000,,4.3000,,2026-09-09 08:52:47.422594+07,admin
060d5346-20c6-411d-908d-2d737b985378,,,,2.0000,,2026-09-09 08:52:39.974897+07,admin
061e7329-ae31-41eb-95c5-e8783b5a6460,202502190,1.9000,,1.8000,,2026-09-09 08:52:41.589758+07,admin
0622ff8c-9cd0-44d4-a39e-5ac9c7ff7de4,202104019,1.8800,,1.8800,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0624457f-f6e1-4e13-8933-79e6007e457d,202104212,2.2500,,2.2000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
062705f5-319f-422e-ac9b-6f550df7c2ef,202411996,2.3400,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
062c4805-7742-47b2-a69c-4a3f6cddf035,202505265,4.4600,5.0000,5.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
062d2fe1-0c1e-4028-8006-0604db19c2ac,202104438,1.4500,,1.4500,,2026-09-09 08:52:43.959997+07,admin
06347509-b728-42e3-b8ac-426a2a310ff6,202506296,3.5000,3.5000,3.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
063e7646-9758-436a-874e-f436f5d836e8,202210984,4.0000,4.0000,4.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0640794f-5e02-4df3-9605-c5691bf65374,202304220,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
065879d9-2d67-4a8e-b22e-f40a2795ebad,202605904,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0676666f-0e8c-40e3-a3a4-c6c8d7f12666,202310528,1.8000,2.5000,2.5000,,2026-09-09 08:52:39.893543+07,admin
06786076-f0d2-40c7-9964-1911adc538ae,202411042,4.0000,,4.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
068d0de0-e62d-4c7a-b6e5-ee582d0c8f21,202506321,1.9800,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
069ad845-b5c4-498f-a6d6-2bf38eab05f5,202602748,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
06a11b8d-f4da-4366-aca7-2e10f13bbe16,202104361,1.0500,,1.1100,,2026-09-09 08:52:51.059342+07,admin
06a61713-3244-46db-9f7e-3d9798fd4e6f,202606921,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
06d83f0a-bae6-4436-952f-488b9c283e24,202508478,1.5000,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
06ecbf10-c9e2-46c4-96fb-a763fd327a4e,202308422,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
06fe3c47-12cb-42d0-be46-995aa53db452,202409883,3.0000,3.0000,3.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
070a7909-b21e-437a-a8a6-5153d5589681,202210994,2.0000,2.0000,2.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0713694f-a008-4498-a1a0-207cc2e5b156,202605905,6.0000,6.0000,6.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
071da5d3-eb8f-40a5-91d9-155a3e947618,202501104,1.9000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
072011ad-bd5d-4bb3-9c9f-d6a354804cb3,202202745,3.5700,,3.5700,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
072c7311-b991-40a0-b2ab-c6f4f5c108f1,202104179,2.8000,,2.8000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
073ac256-d21f-4ec5-a69c-8cfa3a2fc5b5,202104354,1.2300,,1.2300,,2026-09-09 08:52:44.900099+07,admin
073e06d6-836f-42c5-b9a5-c6344e3a64aa,202104222,1.5000,,1.4700,,2026-09-09 08:52:47.284341+07,admin
0769e210-0051-4be7-b823-b61c335dc20d,202304221,1.2000,1.2000,1.2000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
07d73954-a89d-49a3-8ed7-fff4e13b074e,202501079,1.2500,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
08052c63-6af4-4fbf-8acf-7a6e34e198a1,202506300,6.0000,6.0000,6.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0819f19b-49a4-43f4-8ad4-c7c27d5d9f2d,202305258,3.0900,,2.3000,,2026-09-09 08:52:46.098125+07,admin
081c31ba-c084-4b25-ad9c-9da68759a70e,202409869,3.5700,,3.5700,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
081e57cb-3345-41e1-be9e-c794fb67e572,202508472,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
085876a4-2d4d-4e05-9df3-4fe82b5878f4,202110620,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0861d297-ee0c-4f4a-a5f8-3acdbf92b0f6,202208924,1.8200,,1.6600,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
088c092b-8efd-4e88-81d7-00cf9b5f12cf,202212084,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
088cd402-9e3b-4bd2-a794-9269ef6072db,202408860,3.3500,3.0000,3.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
08935a4f-8bc8-4652-bf9e-c57de906f6c5,202501148,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
089a2d4b-f1f0-4790-b1d2-02eaeb10b8c3,202507381,2.5000,2.5000,2.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
089bd726-3ade-4080-838c-e1f1b6eb2f15,202407779,1.0000,1.0000,1.0000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
08a5a3eb-aa36-4b4b-aae0-504a2b98dda7,,,,3.1000,,2026-09-09 08:52:38.867918+07,admin
08c1a380-84db-456e-9eb6-d7b0985ecd8a,202104076,1.8900,,1.8900,,2026-09-09 08:52:46.175643+07,admin
08d4ad8a-441c-4855-a729-000c6c16c7bf,202210965,1.5000,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
08e17033-7f2a-47d8-bf55-910bad1b152a,202104236,1.7500,,1.8600,,2026-09-09 08:52:48.075641+07,admin
0917b9a5-c0ed-4f6f-835c-410aee3335a2,202506337,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0920c38e-95a1-438a-9edc-2cce57ce7177,202402618,2.5000,2.5000,2.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0935db5d-17c8-4690-a547-0c9b6a51d238,202307332,1.5000,1.5000,1.5000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
093bb061-22c5-4238-bbda-9f1e59780316,202104446,1.0300,,1.0300,,2026-09-09 08:52:52.93947+07,admin
09881e86-4e09-40b2-add9-86f9b0ee9948,202411009,4.0000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
099ac5ad-5f2e-41a7-800a-51f248b4adb2,202104364,3.1700,,3.5000,,2026-09-09 08:52:48.236114+07,admin
09a9cf81-9506-46c8-b69d-4e111743910d,202212078,1.8000,1.8000,1.8000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
09b84fcd-0a0f-49b1-8e55-52ecdf79a72d,202206871,1.3500,1.5000,1.5000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
09f6a220-6926-4ac7-81a1-724011d8b0b4,202311547,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
09ff41ba-6821-489d-a72f-15b99911e31b,202104101,2.2000,,2.2000,,2026-09-09 08:52:41.669758+07,admin
0a058c49-7053-436f-afdf-f93583ce9d17,202603792,2.0000,2.0000,2.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
0a39f7df-61bf-4895-a9b8-8369c4c9ca89,,,,1.2700,,2026-09-09 08:52:41.248826+07,admin
0a531c44-6ad8-446b-833b-078aed30ca98,202212093,2.8000,2.8000,2.8000,,2026-09-07 14:24:16.976218+07,migration_000506_backfill
0a614a40-3775-4877-b126-1123532a1691,202501163,4.0000,4.0000,4.0000,,2026-09-08 09:21:50.2908+07,migration_000508_backfill
